,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount
0,221958,SKU_1964,White Mug,38,2020-01-01 00:00,1.71,37039.0,Australia,0.47
1,771155,SKU_1241,White Mug,18,2020-01-01 01:00,41.25,19144.0,Spain,0.19
2,231932,SKU_1501,Headphones,49,2020-01-01 02:00,29.11,50472.0,Germany,0.35
3,465838,SKU_1760,Desk Lamp,14,2020-01-01 03:00,76.68,96586.0,Netherlands,0.14
4,359178,SKU_1386,USB Cable,-30,2020-01-01 04:00,-68.11,,United Kingdom,1.501433043360303
5,744167,SKU_1006,Office Chair,47,2020-01-01 05:00,70.16,53887.0,Sweden,0.48
6,210268,SKU_1087,USB Cable,25,2020-01-01 06:00,85.74,46567.0,Belgium,0.15
7,832180,SKU_1597,Notebook,8,2020-01-01 07:00,95.65,75098.0,Norway,0.04
8,154886,SKU_1907,Wireless Mouse,19,2020-01-01 08:00,98.19,87950.0,Belgium,0.05
9,237337,SKU_1866,Headphones,40,2020-01-01 09:00,98.17,39718.0,Italy,0.16
10,621430,SKU_1144,Notebook,49,2020-01-01 10:00,87.56,13030.0,United Kingdom,0.19
11,187498,SKU_1450,Office Chair,41,2020-01-01 11:00,59.51,32466.0,Australia,0.39
12,999159,SKU_1330,Blue Pen,41,2020-01-01 12:00,25.59,89794.0,Australia,0.01
13,275203,SKU_1709,Headphones,3,2020-01-01 13:00,2.09,97817.0,Spain,0.47
14,291335,SKU_1874,Wall Clock,29,2020-01-01 14:00,35.88,43017.0,Portugal,0.06
15,378167,SKU_1163,T-shirt,16,2020-01-01 15:00,82.58,85852.0,Belgium,0.41
16,141090,SKU_1656,Office Chair,7,2020-01-01 16:00,70.85,15473.0,Germany,0.0
17,429365,SKU_1341,Headphones,49,2020-01-01 17:00,14.91,55644.0,Netherlands,0.36
18,164820,SKU_1000,Backpack,21,2020-01-01 18:00,1.07,20566.0,Sweden,0.49
19,887201,SKU_1119,USB Cable,46,2020-01-01 19:00,27.03,19819.0,Spain,0.26
20,421879,SKU_1578,Wall Clock,43,2020-01-01 20:00,77.17,24716.0,Norway,0.3
21,818315,SKU_1463,Notebook,14,2020-01-01 21:00,66.89,16604.0,Norway,0.42
22,427069,SKU_1866,Wireless Mouse,39,2020-01-01 22:00,66.18,45103.0,Sweden,0.07
23,876997,SKU_1461,T-shirt,24,2020-01-01 23:00,70.01,14803.0,Norway,0.12
24,299041,SKU_1048,T-shirt,48,2020-01-02 00:00,27.87,26772.0,France,0.24
25,891743,SKU_1818,Blue Pen,30,2020-01-02 01:00,59.53,62114.0,Germany,0.25
26,203355,SKU_1326,USB Cable,33,2020-01-02 02:00,97.96,38576.0,Italy,0.23
27,335796,SKU_1473,Wall Clock,22,2020-01-02 03:00,28.73,60532.0,Netherlands,0.25
28,314176,SKU_1887,Office Chair,10,2020-01-02 04:00,86.71,47802.0,Australia,0.36
29,284779,SKU_1938,USB Cable,11,2020-01-02 05:00,90.69,98066.0,United States,0.39
30,447449,SKU_1367,White Mug,15,2020-01-02 06:00,40.36,83531.0,Portugal,0.03
31,521909,SKU_1286,White Mug,48,2020-01-02 07:00,8.39,59307.0,Netherlands,0.08
